,INSEE_COM,PrixMoyen_M2_2223,Prixm2Moyen_2022,Prixm2Moyen_2023,loyer_apparts,loyer_maisons,R2appart,R2maison,Loyer_annuel_apparts,Loyer_annuel_maisons,Rendement_locatif_apparts,Rendement_locatif_maisons,INSEE_DEP,NOM_COM_M,POPULATION
22,09032,2532.4500000000007,2515.94339622642,2551.06382978723,9.49996742701736,7.34687306232167,"0,736129153720724","0,687306582108781",113.99960912420832,88.16247674786004,4.501554191561858,3.4813116447653463,09,Ax-les-Thermes,1342
23,09033,1268.6666666666667,1330.0,1238.0,8.2410459700489,7.03911349526334,"0,772183877702808","0,684063495015358",98.8925516405868,84.46936194316008,7.79499881560064,6.658121014962696,09,Bagert,42
24,09035,1112.7142857142871,1197.66666666667,1049.0,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,8.627546267571876,7.342209215244065,09,Balaguères,200
25,09038,1451.0,1729.75,1228.0,8.09239651320027,7.03911349526334,"0,818083974152368","0,684063495015358",97.10875815840323,84.46936194316008,6.6925401901036015,5.821458438536187,09,La Bastide-de-Besplas,379
26,09039,1546.1666666666667,1922.75,793.0,7.8405536623608,6.87920216220584,"0,684062129800163","0,562848485909005",94.0866439483296,82.55042594647009,6.085155370162527,5.33903800451461,09,La Bastide-de-Bousignac,346
27,09040,1797.7499999999986,1937.8,1564.33333333333,8.32413306179766,6.87920216220584,"0,755852904860847","0,562848485909005",99.88959674157192,82.55042594647009,5.5563675005741615,4.591874618076492,09,La Bastide-de-Lordat,314
28,09041,1378.57142857143,1326.0,1431.14285714286,8.2410459700489,7.24510605850142,"0,772183877702808","0,690209572235891",98.8925516405868,86.94127270201705,7.173552968747221,6.306620817762888,09,La Bastide-du-Salat,209
29,09042,1390.5599999999977,1273.61538461538,1517.25,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,6.9834281266830205,5.719690251320082,09,La Bastide-de-Sérou,986
30,09043,1393.1578947368394,1488.42857142857,1337.58333333333,7.8405536623608,6.55154285869723,"0,684062129800163","0,612429932898961",94.0866439483296,78.61851430436676,6.753480298520083,5.643187653127961,09,La Bastide-sur-l'Hers,692
31,09044,1987.7499999999973,2282.33333333333,1104.0,8.09239651320027,7.65452578433497,"0,818083974152368","0,607178798815941",97.10875815840323,91.85430941201965,4.8853607424677845,4.621019213282342,09,Baulou,167
32,09045,1656.25,1822.0,1380.0,8.54699875743156,6.53527258180149,"0,769838407411312","0,666622064703731",102.56398508917871,78.42327098161788,6.192542495950413,4.734989946059947,09,Bédeilhac-et-Aynat,196
33,09046,1554.0,1125.0,1983.0,8.2410459700489,7.24510605850142,"0,772183877702808","0,690209572235891",98.8925516405868,86.94127270201705,6.363742061813822,5.59467649305129,09,Bédeille,77
34,09047,1332.1458333333358,1259.16,1411.47826086957,7.8405536623608,6.55154285869723,"0,684062129800163","0,612429932898961",94.0866439483296,78.61851430436676,7.062788592214648,5.901644725160843,09,Bélesta,1106
35,09049,1429.5000000000025,1215.66666666667,2071.0,8.09239651320027,8.10907916123189,"0,818083974152368","0,5261364426342",97.10875815840323,97.30894993478267,6.793197492717949,6.807201814255508,09,Bénac,177
36,09050,1857.8333333333333,1321.0,1965.2,9.63237300325992,8.10907916123189,"0,747412637084959","0,5261364426342",115.58847603911904,97.30894993478267,6.221681674304425,5.237765314512389,09,Benagues,509
37,09051,1092.0,1459.0,725.0,8.83138047715341,7.72465669534667,"0,660491209864879","0,687306582108781",105.97656572584091,92.69588034416005,9.704813711157591,8.488633731150188,09,Bénaix,155
